mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fit_intercept,param_normalize,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.451297950744629,0.14381465575543012,0.00844578742980957,0.002629888940197005,True,True,"{'fit_intercept': True, 'normalize': True}",,,,,,,,1
3.450661373138428,0.49960617520078887,0.005201148986816406,0.003653456411686385,True,False,"{'fit_intercept': True, 'normalize': False}",,,,,,,,2
3.435480546951294,0.4135938506208627,0.0057868480682373045,0.004444515512226023,False,True,"{'fit_intercept': False, 'normalize': True}",,,,,,,,3
2.9830313205718992,0.11318520627885323,0.00406036376953125,0.0011506604345949457,False,False,"{'fit_intercept': False, 'normalize': False}",,,,,,,,4
